age,height_cm,weight_kg,overall,weak_foot,skill_moves,shooting,passing,dribbling,defending,physic,player_positions
32,170,72,94,4,4,92,92,96,39,66,MEIA
34,187,83,93,4,5,93,82,89,35,78,ATACANTE
27,175,68,92,5,5,85,87,95,32,58,MEIA
26,188,87,91,3,1,0,0,0,0,0,GOLEIRO
28,175,74,91,4,4,83,86,94,35,66,MEIA
28,181,70,91,5,4,86,92,86,61,78,MEIA
27,187,85,90,4,1,0,0,0,0,0,GOLEIRO
27,193,92,90,3,2,60,70,71,90,86,ZAGUEIRO
33,172,66,90,4,4,76,89,89,72,66,MEIA
27,175,71,90,3,4,86,81,89,45,74,MEIA
20,178,73,89,4,5,84,78,90,39,75,ATACANTE
28,187,89,89,3,2,28,54,67,89,87,ZAGUEIRO
25,188,89,89,4,3,91,79,81,47,83,ATACANTE
26,191,91,89,3,1,0,0,0,0,0,GOLEIRO
28,192,82,89,3,1,0,0,0,0,0,GOLEIRO
28,168,72,89,3,2,65,77,81,87,83,VOLANTE
34,187,85,89,3,2,46,58,60,90,82,ZAGUEIRO
31,173,70,89,4,4,90,77,88,33,74,ATACANTE
33,184,82,89,3,3,68,75,73,87,85,ZAGUEIRO
32,182,86,89,4,3,89,80,84,51,84,ATACANTE
30,184,80,89,4,4,87,74,85,41,82,ATACANTE
30,189,76,89,3,3,62,80,80,85,80,VOLANTE
28,176,73,89,3,4,86,84,89,57,72,ATACANTE
25,177,75,88,3,4,82,84,90,43,64,MEIA
26,191,84,88,4,5,81,86,85,66,86,MEIA
25,188,86,88,3,1,0,0,0,0,0,GOLEIRO
24,170,69,88,3,4,79,78,89,45,57,MEIA
27,181,76,88,5,4,81,90,84,53,63,MEIA
27,199,96,88,2,1,0,0,0,0,0,GOLEIRO
32,194,85,88,3,2,61,72,68,88,80,ZAGUEIRO
34,193,92,88,2,1,0,0,0,0,0,GOLEIRO
33,193,92,88,4,1,0,0,0,0,0,GOLEIRO
32,188,82,88,1,1,0,0,0,0,0,GOLEIRO
33,173,67,88,2,4,74,88,89,52,57,MEIA
32,185,77,88,4,3,86,72,79,55,83,ATACANTE
33,187,78,88,3,2,48,64,61,89,83,ZAGUEIRO
29,183,76,88,5,3,80,90,81,70,69,MEIA
30,180,71,88,4,4,88,84,87,45,66,MEIA
30,187,80,88,4,4,85,75,80,37,69,ATACANTE
27,175,69,88,4,4,83,77,89,44,74,MEIA
25,189,85,87,3,2,50,71,68,88,82,ZAGUEIRO
24,173,64,87,3,4,76,83,92,51,67,MEIA
27,185,84,87,3,2,72,75,72,85,89,VOLANTE
26,183,78,87,5,4,86,80,87,42,68,ATACANTE
34,179,67,87,4,3,74,79,78,84,79,VOLANTE
34,183,82,87,3,2,54,72,72,87,78,ZAGUEIRO
31,185,81,87,4,4,82,80,86,39,77,ATACANTE
32,189,86,87,3,3,63,74,72,87,79,ZAGUEIRO
32,169,61,87,4,4,83,80,91,35,53,ATACANTE
30,191,94,87,3,3,58,76,72,89,76,ZAGUEIRO
30,186,81,87,3,2,55,72,66,88,79,ZAGUEIRO
30,170,68,87,3,3,69,81,83,79,73,ZAGUEIRO
28,174,70,87,3,5,74,85,90,69,63,MEIA
32,185,80,87,3,1,0,0,0,0,0,GOLEIRO
28,163,59,87,4,4,79,85,91,35,47,ATACANTE
23,183,75,86,3,4,81,79,86,38,70,MEIA
25,183,75,86,3,3,41,73,70,86,77,ZAGUEIRO
24,187,80,86,4,2,41,59,66,87,82,ZAGUEIRO
26,165,60,86,4,4,60,84,90,79,66,MEIA
25,182,75,86,3,2,63,69,69,86,82,ZAGUEIRO
29,195,90,86,3,1,0,0,0,0,0,GOLEIRO
24,176,73,86,4,3,69,86,84,79,78,ZAGUEIRO
